AdobeRequestFail	Acrobat DC Pro installed today (RITM1051419 ) but not working. When I type new text into a PDF letters work but numbers come up as symbols not numbers.
AdobeRequestFail	Acrobat DC Pro installed today (RITM1051419 ) but not working. When I type new text into a PDF letters work but numbers come up as symbols not numbers. I have restarted my VDI since the installation.
AdobeUpgradeLicense	Hi Team, my work laptop saying the Windows license will expire soon. Could you please help me renew the Windows license? Thanks.
AdsProblem	aladdian data studio not working
AdsProblem	Data Studio not working
AdsProblem	data studio not working
AdsProblem	problem with Aqua Data Studio
AladdinAccess	Hi - I need access to Aladdin Studio please
AladdinAccess	what's the contact of Aladdin support
AladdinDashboard	aladdin dashboard
AladdinLaunch	Aladdin is not loading
AladdinLaunch	cannot launch aladdin
AladdinLaunch	Genie launch issue
AladdinLaunch	Genie Launcher is not working
AladdinLaunch	Hi My aladdin launcher is not working.
AladdinLaunch	Prod genie not launching
AladdinToolbar	Can not see Red Oak on my Genie toolbar
AladdinToolbar	My Genie toolbar is not working. The app is stuck at 85% and doesn't work.
AlphabetaCredentials	I have a guest and would like to give generate a password for them to login to AlphaBeta-Guest.
AudioHeadset	I am having issues with my headset
AudioMic	microphone not working
AudioSound	Hello. I am having issues with WebEx - especially with my Audio. Noone can hear me. I had raised a ticket last week, and while a solution was put in place temporarily, this issue presents itself 4-5-10x a day.
AudioSound	I am unable to hear the other people on WebEx calls
AudioSpeaker	my laptop speaker is not working
BrowserDefault	default browser
BrowserPerformance	My File Explorer is not working
builtins.fallback	info
AccessKeyword	access
builtins.fallback	any updates
AccessKeyword	application access
builtins.fallback	blkcat
builtins.fallback	Bridger access
builtins.fallback	business cards
builtins.fallback	Cannot type japanese with japanese ime is not ready yet error
builtins.fallback	Dell latitude not turning on
builtins.fallback	Deskside support
DlKeyword	distribution lists
DuoKeyword	Duo mobile
builtins.fallback	fem
builtins.fallback	find old ms teams channel
FrontEndMessage	front end message
FrontEndMessage	front end message
FrontEndMessage	front end message
FrontEndMessage	front end message
FrontEndMessage	frontend message
FrontEndMessage	frontend message
builtins.fallback	get me back to my last conversation
BenefitsKeyword	hi - i need to reset my benefits
builtins.fallback	hi - need to add SPG view - tech form I tried was a dead end
builtins.fallback	Hi Amelia, I want to allow external users dial-in to my webex
builtins.fallback	Hi Amelia, I want to book a meeting room in Mumbai office
builtins.fallback	Hi can you please log a ticket with deskside support to increase my RAM to 64GB on my physical PC - hostname SFOMD1298765 - located at 400 Howard floor 7 19-h
builtins.fallback	Hi! What floor is tech support on?
builtins.fallback	hi, can you show me the employee discount page?
AccessKeyword	Hi, I see that my request has been approved, but i still dont have access to the application
builtins.fallback	Hi, My booked computer is not working in the Budapest office
OutlookKeyword	Hi, Search option is not working in my outlook
LostAndFound	Hi. I was travelling internationally and accidentally left my BLK mobile phone in my family home in Poland. I flew into New York yesterday. I wanted to ask what is the appropriate procedure in such case? Should I declare it as lost or should I ask a family member to ship it to the US via courier?
builtins.fallback	hii I need help with docker
builtins.fallback	hosting a website on azure
builtins.fallback	how can I upgrade my PagerDuty role from user to manager?
builtins.fallback	How do i append BLKSend
builtins.fallback	how do i book a work desk in london
builtins.fallback	https://blkprd.service-now.com/br?id=ticket&table=incident&sys_id=4a1232b987b6a1140caeecec8bbb353b
builtins.fallback	I am having issues with java.net
builtins.fallback	I am not able to access some filws from my laptop at home
AccessKeyword	I cannot access 1BLK
builtins.fallback	I got an issue with Compute.
builtins.fallback	I had raised tickets 6 days ago that have already been approved. I need access to dev/tst environments as soon as possible to start working on my project
HealthNSafety	i have an injury
HealthNSafety	i lost my wallet
HealthNSafety	i lost my wallet
builtins.fallback	I wan to raise service now request to get TSTBLK access.
builtins.fallback	I would like to join an external teams group
builtins.fallback	I would like to report that a computer is not working in the BUdapest office
builtins.fallback	if i was sick and worked from home, how do i classify that in workday?
builtins.fallback	in the office; printing a word doc and pdf sends computer into infinite loop, needs to restart
builtins.fallback	Inbox issues
TicketStatus	checking progress of RITM1039793
TicketStatus	could you check the status of RITM1031332 and have it prioritised ?
TicketStatus	Hello, it's been 14 days since I opened ticket RITM1036054 but it haven't been fulfilled
TicketStatus	Hello, requesting a status update on ticket RITM1043190
builtins.fallback	info
builtins.fallback	info
builtins.fallback	info
MobilePlanRoaming	international plan
builtins.fallback	invalid or corrupt launch. aladdin file
CoupaInvoice	invoices
builtins.fallback	Is chatgpt safe to use on BLK device?
ZscalerKeyword	I’m receiving an error from zscaler “Endpoint FW/AV” error that says this device has a firewall or antivirus program blocking zscaler client connector traffic
JabberKeyword	Jabber
builtins.fallback	low space
builtins.fallback	mailbox
builtins.fallback	my broker has automatically reinvested dividend
builtins.fallback	My favorite items do not stay in my outlook favorites tab
builtins.fallback	my morningstar excel add in is gone. when i try to add it back in i get an error message
OutlookKeyword	my ourlook is not working
builtins.fallback	My symphony is not working
builtins.fallback	My zscaller reaunthentication is not working. When I scan the QR code and confirm with BlockID on my phone it just reloads the QR code and doesn't authenticate.
builtins.fallback	Need access to ADS. Table - BFMEWD5_ADS_BFM
builtins.fallback	need help with alert enterprises badge access
builtins.fallback	need thin client
MsKeyword	Office 365
MsKeyword	office computer issues
OutlookKeyword	outlook
MobileUpgrade	phone eligibility
builtins.fallback	PO number 43963
builtins.fallback	problem with CPU memory
builtins.fallback	Purchasing government bonds
builtins.fallback	Report Safety & Security Incident
builtins.fallback	Restart HALMD0089756
builtins.fallback	Retract Red Oak submission from business approver
TicketStatus	helpdesk ticket status
TicketStatus	HelpDesk Ticket Status
TicketStatus	Hi , my RITM1043359 request is not approved yet.
TicketStatus	Hi My service now request is pending with AIM ; RITM1033682 for more than 15 days
TicketStatus	hi, I need a status update on RITM1042418
TicketStatus	I have a ServiceNow ticket.
TicketStatus	I have a ticket number related to my incident.
TicketStatus	I have just opened ticket number INC1314723
TicketStatus	I would like my ticket to be fulfilled
TicketStatus	I would like to follow up on my ticker
builtins.fallback	send a fax from Outlook email
TicketStatus	is there any contact details for Windows team to discuss about this incident raised RITM1046270
TicketStatus	need someone to help on a request previously raised
TicketStatus	need someone to help on a request previously raised
Escalate	speake to person
